,game,spectral_high_freq,vowel,spectral_variance,amplitude,pitch,loudness
0,XW419A_Note_Alpha_Speaker.mp3,-8.9361045,-1008.1182566666666,0.7819341975,22.921432167142857,-17.470133275,6.985774733333333
1,SG419A_Note_Echo_Speaker.mp3,-15.714047999999998,-1113.5439333333334,0.8949016425,43.023953237142855,-13.727885904375,2.692430626666667
2,XW419A_Intro_Charlie_Speaker.mp3,3.502846,-1022.5227233333331,0.70064338,26.220054271428573,-17.587970877500002,6.956299033333334
3,SG415A_Intro_Delta_Speaker.mp3,-5.3645765,-1001.9248000000001,0.7237476125,27.034829138571432,-16.441964101875,6.4779013
4,SG422A_Intro_Delta_Speaker.mp3,8.5813215,-1012.44305,0.7947001175,40.45494229857143,-12.3473680855,6.5926202
5,SG4111_Note_Delta_Speaker.mp3,-1.868945635,-1004.0567299999999,0.6530944224999999,26.66476242857143,-18.73890669125,5.661971666666667
6,XC419A_Intro_Delta_Speaker.mp3,9.9971063,-954.6278166666667,0.6806664924999999,32.18113652285715,-18.173027478749997,8.512479633333333
7,XC412A_Intro_Bravo_Speaker.mp3,-0.79836122,-1059.8479,0.64486714,29.8485701,-12.79082762375,4.678044066666666
8,SG4131_Intro_Bravo_Speaker.mp3,3.51763375,-1133.3098666666667,0.5825848025,30.18671233428572,-15.491758063124998,3.8034454200000005
9,XC412A_Note_Charlie_Speaker.mp3,-3.299793,-970.9628666666667,1.126542865,29.372059421428567,-18.354623265,6.544565933333334
10,SG4122_Note_Alpha_Speaker.mp3,5.2717378,-980.9020833333334,1.01688238,24.670558062857143,-12.660885192499999,7.436086733333333
11,SG422A_Note_Echo_Speaker.mp3,2.3891421999999998,-947.3074666666666,1.0905128325,25.608867805714283,-17.454624245999998,9.755588966666666
12,XC418A_Note_Alpha_Speaker.mp3,6.38081075,-1038.0561366666666,0.382430645,20.665841732857142,-21.075382203,6.124872233333334
13,XC411A_Note_Bravo_Speaker.mp3,-1.90449325,-956.0016866666666,0.935211145,24.373243936285714,-19.65371171375,6.375317966666667
14,XC411N_Note_Echo_Speaker.mp3,-5.280826149999999,-945.4404799999999,1.32248766,29.457760462857145,-15.282241425,6.45516981
15,XC422B_Note_Echo_Speaker.mp3,-5.85823385,-980.6409333333332,1.134040345,22.96210240657143,-18.130430996250002,7.1612328666666665
16,XC415A_Intro_Charlie_Speaker.mp3,-9.789160500000001,-991.6658133333334,1.0612993,31.397682140000004,-12.757129025,6.812985833333333
17,SG419A_Note_Delta_Speaker.mp3,-13.7021045,-947.9334600000001,0.884374295,35.08936091142857,-19.709233237,5.2969406
18,SG415B_Note_Alpha_Speaker.mp3,-3.6233202,-1030.2261799999999,0.8642969075,32.92439224285714,-14.89940100375,6.590722799999999
19,XC419A_Intro_Charlie_Speaker.mp3,1.4733166249999998,-1076.9970333333333,0.62771488,21.317917675714284,-12.938102127499999,6.972251066666668
20,XC422B_Note_Alpha_Speaker.mp3,-27.0353385,-1093.4567166666668,0.780934605,42.21852124714286,-14.133685830625,4.258534713333333
21,XC411N_Note_Charlie_Speaker.mp3,-5.8916511499999995,-1042.8079666666665,0.8249994700000001,28.882989478571428,-11.049660497875,6.419875966666667
22,XC415B_Note_Bravo_Speaker.mp3,-15.8490365,-993.5570100000001,0.8765922749999999,49.30794362571429,-19.1434378,0.9593605366666668
23,XC411A_Intro_Delta_Speaker.mp3,-0.92128432,-1090.6452866666666,0.5213508025,25.28894488142857,-17.48203808,5.065000866666666
24,XC411N_Intro_Delta_Speaker.mp3,-0.8363142499999999,-1070.5147333333332,0.8759549975,41.574463637142856,-16.932661996249998,6.254026233333334
25,SG4122_Intro_Bravo_Speaker.mp3,-1.152663195,-1001.9580666666667,0.9698146425,35.051630100000004,-12.15652825,6.9558724000000005
26,SG419A_Intro_Delta_Speaker.mp3,-9.625449499999998,-962.15748,0.8881751499999999,44.26369837714286,-19.71277137125,5.870999233333333
27,XC422B_Note_Charlie_Speaker.mp3,4.7119662,-1009.3896333333332,0.862909465,27.898492798571432,-12.790070237499998,8.7667101
28,XC422A_Intro_Delta_Speaker.mp3,2.664688425,-1068.5444333333332,0.65257063,24.85879962857143,-14.17811202075,4.7343849166666665
29,XC415A_Intro_Delta_Speaker.mp3,6.62046885,-1047.26499,0.736000345,37.86103604142857,-16.86310612125,2.9062399833333337
30,XC415A_Note_Bravo_Speaker.mp3,-16.9204775,-915.95872,0.8936311450000001,41.76416340285714,-17.489169803750002,3.2242157466666668
31,XW418A_Intro_Bravo_Speaker.mp3,-5.4882875,-1081.0256233333332,0.7249779224999999,30.56247048571429,-11.3529646655,6.4386547
32,SG419A_Intro_Echo_Speaker.mp3,-15.175044999999999,-1090.8416666666667,1.060062665,41.44038712571429,-13.053616402749999,5.087242533333333
33,XC422A_Note_Alpha_Speaker.mp3,-3.9865758,-1084.7743533333332,0.753567475,29.058406948571424,-16.783790258249997,5.7408861
34,XC418A_Intro_Alpha_Speaker.mp3,7.0006213,-1045.8047,0.39639335,27.29791635857143,-20.62181708625,6.0903439
35,XC422B_Intro_Alpha_Speaker.mp3,-23.1155615,-1020.1343999999999,0.7050117925000001,47.91093385,-14.772792589500002,4.5583216
36,SG415A_Note_Alpha_Speaker.mp3,0.5214346034999999,-947.3271799999999,1.015895655,20.47731876,-16.62653099875,7.905497333333334
37,XC415B_Intro_Alpha_Speaker.mp3,13.6186065,-936.5577833333333,0.8814114325,27.659466184285716,-14.89997585875,5.766381256666667
